T,classical,squared,parabolic,eckart,eckart-approx,wigner
10.0,5.676240150e-250,4.211168418e-07,8.995086093e-05,1.605229299e-10,1.906106935e-12,2.482227722e-236
15.0,6.096410335e-163,1.221819020e-04,2.650738492e-02,6.078389062e-08,8.171646131e-10,1.185890356e-149
20.0,2.175073877e-119,2.285774088e-03,4.999008658e-01,1.342464555e-06,2.108602193e-08,2.382797619e-106
25.0,3.096425794e-93,1.401121302e-02,3.085899859e+00,1.005001768e-05,1.969868510e-07,2.174311693e-80
30.0,8.730243493e-76,4.872387607e-02,1.080765462e+01,4.340117418e-05,1.055281095e-06,4.265206362e-63
35.0,2.605068639e-63,1.219644931e-01,2.725142855e+01,1.344886493e-04,3.945855634e-06,9.371315653e-51
40.0,6.021374456e-54,2.478590343e-01,5.579805421e+01,3.363011266e-04,1.172877643e-05,1.662645546e-41
45.0,1.171543285e-46,4.375046463e-01,9.925504147e+01,7.280413844e-04,3.004115996e-05,2.563350578e-34
50.0,8.032374975e-41,6.987784705e-01,1.597963587e+02,1.425001612e-03,6.937323061e-05,1.428144741e-28
55.0,4.828117923e-36,1.036804483e+00,2.390498492e+02,2.592647118e-03,1.482729929e-04,7.119603690e-24
60.0,4.672157101e-32,1.454600534e+00,3.382296239e+02,4.466793719e-03,2.984395204e-04,5.811568104e-20
65.0,1.108800654e-28,1.953687577e+00,4.582653042e+02,7.382657933e-03,5.728892371e-04,1.180099374e-16
70.0,8.717405322e-26,2.534588184e+00,5.999111323e+02,1.181633208e-02,1.058814212e-03,8.035872001e-14
75.0,2.830868315e-23,3.197206916e+00,7.638323614e+02,1.844365155e-02,1.897518860e-03,2.284145490e-11
80.0,4.480448042e-21,3.941109149e+00,9.506718515e+02,2.822365449e-02,3.315111691e-03,3.193637584e-09
85.0,3.922543648e-19,4.765720166e+00,1.161101260e+03,4.251697591e-02,5.669540912e-03,2.490131718e-07
90.0,2.096182342e-17,5.670465509e+00,1.395861065e+03,6.325391956e-02,9.522330253e-03,1.193749420e-05
95.0,7.390617372e-16,6.654868087e+00,1.655792982e+03,9.317320912e-02,1.574744385e-02,3.800192965e-04
100.0,1.829576702e-14,7.718615556e+00,1.941867659e+03,1.361613631e-01,2.569574592e-02,8.543772757e-03
105.0,3.344448576e-13,8.861606897e+00,2.255209879e+03,1.977354230e-01,4.144244510e-02,1.425914276e-01
110.0,4.704504746e-12,1.008398510e+01,2.597123116e+03,2.857300460e-01,6.615805144e-02,1.840108662e+00
115.0,5.268892393e-11,1.138616087e+01,2.969114926e+03,4.112761252e-01,1.046626670e-01,1.898989107e+01
120.0,4.833680890e-10,1.276883100e+01,3.372924530e+03,5.901955241e-01,1.642517097e-01,1.611803360e+02
125.0,3.720111565e-09,1.423299388e+01,3.810553845e+03,8.450345852e-01,2.559225477e-01,1.151970751e+03
